integrator,order,symplectic,initial_energy,final_energy,max_drift,relative_drift,n_steps,n_evaluations
Forward Euler,1,False,0.5,11007.728024276088,11007.228024276088,22014.456048552176,100000,100000
RK4,4,False,0.5,0.49999999930556727,6.944327335389744e-10,1.3888654670779488e-09,100000,400000
RK45 (Adaptive),4,False,0.5,0.5000024003882,2.4003881999856702e-06,4.8007763999713404e-06,14073,91002
Velocity Verlet,2,True,0.5,0.4999914050180273,1.2499999936743666e-05,1.7189963945396514e-05,100000,100001
